# List created using the lists from:
# http://www.ncbi.nlm.nih.gov/books/NBK3827/table/pubmedhelp.pubmedhelptable45/
Brevia	Brevia. (Rome).
The Plant journal : for cell and molecular biology	Plant J.
The Polar record	Polar Rec. (Gr. Brit).
The Polish review	Pol. Rev.
The Pope speaks	Pope Speaks
The Practical lawyer	Pract. Lawyer
The Practitioner	Practitioner
The Prairie rose	Prairie Rose
The Prescriber	Prescriber
The Priest	Priest
The Princeton University library chronicle	Princeton Univ. Libr. Chron.
The Probe	Probe (Lond).
The Proceedings of the Institute of Medicine of Chicago	Proc. Inst. Med. Chic.
The Professional geographer : the journal of the Association of American Geographers	Prof. Geogr.
The Progressive	Progressive
The Progressive nurse	Progress. Nurse
The Prostate	Prostate
The Psychiatric quarterly. Supplement	Psychiatr. Q. Suppl.
The Psychiatric times	Psychiatr. Times
The Psychoanalytic study of the child	Psychoanal. Study Child
The Psychologist	Psychologist
The Public health laboratory	Public Health Lab.
The Public interest	Public Interest
The Public relations journal	Public Relat. J.
The Puerto Rico journal of public health and tropical medicine	PR. J. Public Health Trop. Med.
The Pulse of the Montana State Nurses' Association	Pulse
The Punjab medical journal	Punjab Med. J. (Banga).
The Quality letter for healthcare leaders	Qual. Lett. Healthc. Lead.
The Quarterly journal of experimental psychology. A, Human experimental psychology	Q. J. Exp. Psychol. A.
The Quarterly journal of experimental psychology. B, Comparative and physiological psychology	Q. J. Exp. Psychol. B.
The Quarterly journal of speech	Q. J. Speech
The Quarterly of the National Dental Association, Inc	Q. Natl. Dent. Assoc.
The Quarterly review	Q. Rev. DC. Nurses. Assoc.
The Quarterly review of economics and finance : journal of the Midwest Economics Association	Q. Rev. Econ. Finance
The Queensland dental journal	Qld. Dent. J.
The Queensland nurse	Qld. Nurse
The Reader's digest	Read. Dig.
The Recorder of the Columbia Medical Society of Richland County, S. C	Rec. Columbia Med. Soc. Richland Cty. SC.
The Regan report on nursing law	Regan Rep. Nurs. Law
The Register of the Kentucky Historical Society	Regist. Ky. Hist. Soc.
The Responsive community : rights and responsibilities	Responsive Community
The Review of scientific instruments	Rev. Sci. Instrum.
The Rhodesia nurse	Rhod. Nurse
The Rhodesian nurse	Rhod. Nurse
The Rostrum	Rostrum
The Round table	Round Table
The Royal Institute of Public Health and Hygiene journal	R. Inst. Public Health Hyg. J.
The Ryan advisory for health services governing boards	Ryan Advis. Health Serv. Gov. Boards
The S.A. journal of continuing medical education = Die S.A. tydskrif van voortgesette geneeskundige onderrig	SA. J. Contin. Med. Educ.
The Saint George's Hospital gazette	St. Georg. Hosp. Gaz.
The San Diego law review	San Diego Law Rev.
The Sanitarian	Sanitarian
The Scalpel	Scalpel
The Scandinavian economic history review / [the Scandanavian Society for Economic and Social History and Historical Geography]	Scand. Econ. Hist. Rev.
The Science reports of the Tohoku University. Seventh series: (Geography) Tohoku Daigaku	Sci. Rep. Tohoku Univ. Ser. 7.
The Sciences	Sciences (New. York).
The Scientific basis of medicine annual reviews	Sci. Basis Med. Annu. Rev.
The Scottish historical review	Scott. Hist. Rev.
The Scottish journal of criminal justice studies : the journal of the Scottish Association for the Study of Delinquency	Scott. J. Crim. Justice Stud.
The Scottish journal of sociology	Scott. J. Sociol.
The Seventeenth century	Seventeenth Century
The Sight-saving review	Sight. Sav. Rev.
The Sightsaving review : official publication of the National Society for the Prevention of Blindness	Sightsav. Rev.
The Singapore family physician	Singapore Fam. Physician
The Singapore public health bulletin	Singapore Public Health Bull.
The Sixteenth century journal	Sixt. Century J.
The Society for the Social History of Medicine bulletin	Soc. Soc. Hist. Med. Bull. (Lond).
The Society of Malawi journal. Society of Malawi (Historical and Scientific)	Soc. Malawi J.
The South African geographical journal, being a record of the proceedings of the South African Geographical Society	S. Afr. Geogr. J.
The South African journal of African affairs	S. Afr. J. Afr. Aff.
The South African journal of clinical nutrition : SAJCN : the official journal of the South African Society of Parenteral and Enteral Nutrition and the Association for Dietetics in South Africa	South Afr. J. Clin. Nutr.
The South African journal of communication disorders. Die Suid-Afrikaanse tydskrif vir Kommunikasieafwykings	S. Afr. J. Commun. Disord.
The South African journal of economic history : [journal of the Economic History Society of Southern Africa]	S. Afr. J. Econ. Hist.
The South African journal of economics. Suid-afrikaanse tydskrif vir ekonomie	S. Afr. J. Econ.
The South African journal of medical sciences	S. Afr. J. Med. Sci.
The South African journal of psychiatry : SAJP : the journal of the Society of Psychiatrists of South Africa	S. Afr. J. Psychiatr.
The South Carolina nurse / South Carolina Nurses' Association	S. C. Nurse
The South Dakota journal of medicine and pharmacy	SD. J. Med. Pharm.
The South Dakota nurse	S. D. Nurse
The Southeast Asian journal of tropical medicine and public health	Southeast Asian J. Trop. Med. Public Health
The Southern African journal of epidemiology & infection : official journal of the Sexually Transmitted Diseases, Infectious Diseases and Epidemiological Societies of Southern Africa	South. Afr. J. Epidemiol. Infect.
The Spanish journal of psychology	Span. J. Psychol.
The Springfielder	Springfielder
The St. Luke's Hospital gazette	St. Lukes. Hosp. Gaz. (Guardamangia).
The Statistician : journal of the Institute of Statisticians	Statistician
The Summary	Summ. Shute. Inst.
The Sunday times magazine	Sunday Times Magazine
The Surgeon's circular letter. United States. Army. Far East Command. Medical Section	Surg. Circ. Lett. U. S. Army. Far East Command. Med. Sect.
The Swedish pioneer historical quarterly	Swed. Pioneer Hist. Q.
The Swedish-American historical quarterly / Swedish Pioneer Historical Society	Swed. Am. Hist. Q.
The Sydney law review	Syd. Law Rev.
The Systems thinker	Syst. Thinker
The Thomist	Thomist
The Torah u-madda journal	Torah U. Madda. J.
The Town planning review	Town Plan. Rev.
The Trained nurse and hospital review	Trained Nurse Hosp. Rev.
The Training school bulletin	Train. Sch. Bull. (Vinel).
The Transactions of the Hunterian Society	Trans. Hunter. Soc.
The Turkish journal of gastroenterology : the official journal of Turkish Society of Gastroenterology	Turk. J. Gastroenterol.
The Turkish journal of pediatrics	Turk. J. Pediatr.
The Unesco courier	UNESCO Cour.
The University of Chicago law review. University of Chicago. Law School	Univ. Chic. Law Rev.
The University of Chicago legal forum	Univ. Chic. Leg. Forum
The University of Illinois law forum	Univ. Ill. Law Forum
The University of Manitoba medical journal	Univ. Manit. Med. J.
The University of Maryland law forum	Univ. Md. Law Forum
The University of Memphis law review	Univ. Memphis Law Rev.
The University of New South Wales law journal	Univ. N. S. W. Law J.
The University of Queensland law journal	Univ. Qld. Law J.
The University of Toronto law journal	Univ. Tor. Law J.
The Urban & social change review	Urban Soc. Change Review
The Urban League review. National Urban League. Research Dept	Urban Leag. Rev.
The Urologic and cutaneous review	Urol. Cutaneous Rev.
The Uttar Pradesh State dental journal : an official publication of the State U.P. Dental Branch of the Indian Dental Association	Uttar Pradesh State Dent. J.
The VLDB journal : very large data bases : a publication of the VLDB Endowment	VLDB J.
The Veterinarian	Veterinarian
The Virginia explorer	Va. Explor.
The Virginia magazine of history and biography	Va. Mag. Hist. Biogr.
The Virginia quarterly review	Va. Q. Rev.
The Volunteer leader	Volunt. Leader
The Washington University medical alumni quarterly	Wash. Univ. Med. Alumni Q.
The Washington monthly	Wash. Mon.
The Washington nurse	Wash. Nurse
The Washington post	Washington Post
The Washington quarterly	Wash. Q.
The Washingtonian	Washingtonian
The Weather vane	Weather Vane
The Welsh history review. Cylchgrawn hanes cymru	Welsh Hist. Rev.
The West African medical journal	West Afr. Med. J.
The West African medical journal and Nigerian medical & dental practitioner	West Afr. Med. J. Niger. Med. Dent. Pract.
The West African medical journal and Nigerian practitioner	West Afr. Med. J. Niger. Pract.
The West Tennessee Historical Society papers. West Tennessee Historical Society	West Tenn. Hist. Soc. Pap.
The West Texas Historical Association year book. West Texas Historical Association	West Tex. Hist. Asso. Year B.
The West Virginia medical journal	W. V. Med. J.
The Western Pennsylvania historical magazine	West. Pa. Hist. Mag.
The Western druggist	West. Drug. (Vanc).
The Western humanities review	West. Hum. Rev.
The Western journal of black studies	West. J. Black Stud.
The William and Mary Bill of Rights journal : a student publication of the Marshall-Wythe School of Law	William Mary Bill Rights J.
The Wisconsin bar bulletin	Wis. Bar Bull.
The Wisconsin sociologist	Wisc. Sociol.
The Woman physician	Woman Physician
The Women's annual	Womens. Annu.
The Women's watch / International Women's Right Action Watch	Womens. Watch
The World today	World Today
The X-ray technician	Xray. Tech.
The Yale University library gazette. Yale University. Library	Yale Univ. Libr. Gaz.
The Yale law journal	Yale Law J.
The Zambia nurse	Zambia Nurse
The Zambia nurse journal	Zambia Nurse J.
The Zimbabwe journal of economics	Zimb. J. Econ.
The Zimbabwe nurse	Zimbabwe Nurse
The acts of the Parliament of the Commonwealth of Australia passed in the session of ... Australia	Acts Parliam. Commonw. Aust. Pass. Sess. Aust.
The aging male : the official journal of the International Society for the Study of the Aging Male	Aging Male
The all England law reports	All Engl. Law Rep.
The anatomical record. Part A, Discoveries in molecular, cellular, and evolutionary biology	Anat. Rec. A. Discov. Mol. Cell. Evol. Biol.
The animals' agenda	Anim. Agenda
The annals of applied probability : an official journal of the Institute of Mathematical Statistics	Ann. Appl. Probab.
The annals of long-term care : the official journal of the American Medical Directors Association	Ann. Longterm. Care
The annotated code of the public general laws of Maryland. Health-general / compiled and revised by Commission to Revise the Annotated Code; edited, annotated, and indexed by the editorial staff of the publishers under the supervision o...	Annot. Code Public Gen. Laws Md. Md.
The annual of the Society of Christian Ethics. Society of Christian Ethics (U.S.)	Annu. Soc. Christ. Ethics
The behavior analyst today	Behav. Anal. Today
The bibliotheck	Bibliotheck
The biochemist	Biochem. (Lond).
The bioscan (Ranchi)	Bioscan (Ranchi)
The bone & joint journal	Bone Joint J.
The botulinum journal	Botulinum J.
The breast journal	Breast J.
The bulletin - Missouri Historical Society. Missouri Historical Society	Bull. Mo. Hist. Soc.
The bulletin [of] the University of Miami School of Medicine and Jackson Memorial Hospital. University of Miami. School of Medicine	Bull. Univ. Miami Sch. Med. Jackson Meml. Hosp.
The bulletin of the Cleveland Medical Library. Cleveland Medical Library Association	Bull. Clevel. Med. Libr.
The bulletin of the Illinois Dental Hygienist's Association. Illinois Dental Hygienists' Association	Bull. Ill. Dent. Hyg. Assoc.
The bulletin of the Society of University Cartographers. Society of University Cartographers	Bull. Soc. Univ. Cartogr.
The bulletin of the Tri-County Dental Society	Bull. Tri. Cty. Dent. Soc.
The cancer journal from Scientific American	Cancer J. Sci. Am.
The clinical bulletin of the School of Medicine of Western Reserve University and its associated hospitals. Western Reserve University. School of Medicine	Clin. Bull. Sch. Med. West. Reserve Univ. Assoc. Hosp.
The clinical bulletin. University Hospitals of Cleveland (Ohio)	Clin. Bull. Univ. Hosp. Clevel. (Ohio)
The e-journal of neonatology research	EJ. Neonatol. Res.
The elder law journal	Elder Law J.
The electronic journal of Australian and New Zealand history	Electron. J. Aust. N. Z. Hist.
The electronic journal of human sexuality	Electronic J. Hum. Sex.
The federal law reports : being reports of cases decided by the federal courts (other than the high court), state courts exercising federal jurisdiction, and courts of territories	Fed. Law Rep.
The female patient	Female Patient (Parsippany).
The gender cg newsletter	Gend. CG Newsl.
The general statutes of North Carolina : containing general laws of North Carolina ... / prepared under the supervision of the Department of Justice of the State of North Carolina ; annotated, under the supervision of the Department of ...	Gen. Statut. N. C. N. C.
The gifted child quarterly	Gift. Child Q.
The great concern	Gt. Concern
The health care manager	Health Care Manag. (Frederick).
The heart surgery forum	Heart Surg. Forum
The hematology journal : the official journal of the European Haematology Association / EHA	Hematol. J.
The history of the family : an international quarterly	Hist. Fam.
The hospitalist	Hospitalist
The indexer	Indexer
The innovation journal : the public sector innovation journal	Innov. J.
The insight journal	Insight J.
The international Arabic journal of antimicrobial agents	Int. Arab. J. Antimicrob. Agents
The international electronic journal of health education	Int. Electron. J. Health Educ.
The international journal of alcohol and drug research	Int. J. Alcohol Drug Res.
The international journal of bilingualism : cross-disciplinary, cross-linguistic studies of language behavior	Int. J. Billing.
The international journal of biochemistry & cell biology	Int. J. Biochem. Cell Biol.
The international journal of cardiovascular imaging	Int. J. Cardiovasc. Imaging
The international journal of diversity in organisations, communities and nations	Int. J. Divers. Organ. Communities Nations
The international journal of high performance computing applications	Int. J. High Perform. Comput. Appl.
The international journal of lower extremity wounds	Int. J. Low. Extrem. Wounds
The international journal of medical robotics + computer assisted surgery : MRCAS	Int. J. Med. Robot.
The international journal of mental health promotion	Int. J. Ment. Health Promot.
The international journal of multiphysics	Int. J. Multiphys.
The international journal of neuropsychopharmacology / official scientific journal of the Collegium Internationale Neuropsychopharmacologicum (CINP)	Int. J. Neuropsychopharmacol.
The international journal of soil, sediment and water : documenting the cutting edge of environmental stewardship	Int. J. Soil. Sediment Water
The international journal of structural changes in solids : mechanics and applications	Int. J. Struct. Changes Sol.
The international journal of transitional justice	Int. J. Transit. Justice
The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease	Int. J. Tuberc. Lung Dis.
The international spectator : a quarterly journal of the Istituto affari internazionali	Int. Spect.
The international tinnitus journal	Int. Tinnitus J.
The interne	Interne
The journal for nurse practitioners : JNP	J. Nurse Pract.
The journal of American health care	J. Am. Health Care
The journal of Civil War medicine : official quarterly publication of the Society of Civil War Surgeons, Inc	J. Civ. War Med.
The journal of Tehran Heart Center	J. Tehran Heart Cent.
The journal of allergy and clinical immunology in practice	J. Allergy Clin. Immunol. Pract.
The journal of applied research on children : informing policy for children at risk	J. Appl. Res. Child.
The journal of behavioral health services & research	J. Behav. Health Serv. Res.
The journal of biolaw & business	J. Biolaw Bus.
The journal of economic perspectives : a journal of the American Economic Association	J. Econ. Perspect.
The journal of electronic publishing : JEP	J. Electron. Publ.
The journal of endocrine genetics : JEG	J. Endocr. Genet.
The journal of equity in health	J. Equity Health
The journal of ethics	J. Ethics
The journal of evidence-based dental practice	J. Evid. Based. Dent. Pract.
The journal of family health care	J. Fam. Health Care
The journal of family planning and reproductive health care / Faculty of Family Planning & Reproductive Health Care, Royal College of Obstetricians & Gynaecologists	J. Fam. Plann. Reprod. Health Care
The journal of forensic psychiatry & psychology	J. Forens. Psychiatry Psychol.
The journal of fourier analysis and applications	J. Fourier Anal. Appl.
The journal of gender-specific medicine : JGSM : the official journal of the Partnership for Women's Health at Columbia	J. Gend. Specif. Med.
The journal of gene medicine	J. Gene Med.
The journal of headache and pain	J. Headache Pain
The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society	J. Histochem. Cytochem.
The journal of international trade & economic development	J. Int. Trade Econ. Dev.
The journal of investigative dermatology. Symposium proceedings / the Society for Investigative Dermatology, Inc. [and] European Society for Dermatological Research	J. Investig. Dermatol. Symp. Proc.
The journal of knee surgery	J. Knee Surg.
The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians	J. Matern. Fetal. Neonatal Med.
The journal of media literacy education	J. Media Lit. Educ.
The journal of medical investigation : JMI	J. Med. Invest.
The journal of medical, chemical, biological, and radiological defense	J. Med. Chem. Biol. Radiol. Def.
The journal of men's health & gender : the official journal of the International Society for Men's Health & Gender	J. Mens. Health Gend.
The journal of mental health policy and economics	J. Ment. Health Policy Econ.
The journal of microcolumn separations : JMS	J. Microcolumn Sep.
The journal of military medicine in the Pacific	J. Mil. Med. Pac.
The journal of multicultural nursing & health : official journal of the Center for the Study of Multiculturalism and Health Care, Inc	J. Multicult. Nurs. Health
The journal of nursing research : JNR	J. Nurs. Res.
The journal of nutrition, health & aging	J. Nutr. Health Aging
The journal of pain : official journal of the American Pain Society	J. Pain
The journal of pastoral care & counseling : JPCC	J. Pastoral Care Counsel.
The journal of pediatric pharmacology and therapeutics : JPPT : the official journal of PPAG	J. Pediatr. Pharmacol. Ther.
The journal of peptide research : official journal of the American Peptide Society	J. Pept. Res.
The journal of philosophy, science & law	J. Philos. Sci. Law
The journal of physical chemistry. C, Nanomaterials and interfaces	J. Phys. Chem. C. Nanomater. Interfaces
The journal of physician assistant education : the official journal of the Physician Assistant Education Association	J. Physician Assist. Educ.
The journal of physiological sciences : JPS	J. Physiol. Sci.
The journal of speech and language pathology, applied behavior analysis	J. Speech Lang. Pathol. Appl. Behav. Anal.
The journal of spinal cord medicine	J. Spinal Cord Med.
The journal of stuttering therapy, advocacy, and research	J. Stutt. Ther. Advocacy. Res.
The journal of the American College of Certified Wound Specialists	J. Am. Col. Certif. Wound Spec.
The journal of the Bergen County Dental Society. Bergen County Dental Society	J. Bergen Cty. Dent. Soc.
The journal of the California State Dental Association and the Nevada State Dental Society	J. Calif. State Dent. Assoc. Nev. State Dent. Soc.
The journal of the International Association of Medical Science Educators : JIAMSE	J. Int. Assoc. Med. Sci. Educ.
The journal of the Philadelphia County Dental Society	J. Phila. Cty. Dent. Soc.
The journal of the Polynesian Society. Polynesian Society (N.Z.)	J. Polyn. Soc.
The journal of the Robert H. Lurie Cancer Center of Northwestern University / The Robert H. Lurie Cancer Center of Northwestern University	J. Robert H. Lurie Cancer Cent. Northwest. Univ.
The journal of the Royal College of Physicians of Edinburgh	J. R. Coll. Physicians Edinb.
The journal of the Royal Society for the Promotion of Health	J. R. Soc. Promot. Health
The journal of the West Virginia Historical Association. West Virginia Historical Association	J. W. Va. Hist. Assoc.
The journal of trauma and acute care surgery	J. Trauma Acute Care Surg.
The journal of vascular access	J. Vasc. Access
The journal of venomous animals and toxins including tropical diseases	J. Venom. Anim. Toxins Incl. Trop. Dis.
The journals of gerontology. Series A, Biological sciences and medical sciences	J. Gerontol. A. Biol. Sci. Med. Sci.
The journals of gerontology. Series B, Psychological sciences and social sciences	J. Gerontol. B. Psychol. Sci. Soc. Sci.
The lancet oncology	Lancet Oncol.
The male nurses' journal	Male Nurses. J.
The mankind quarterly	Mankind Q.
The neurologist	Neurologist
The new microbiologica	New Microbiol.
The north wing; the magazine of the Sheffield medical and dental schools	North Wing.
The oncologist	Oncologist
The online journal of knowledge synthesis for nursing	Online J. Knowl. Synth. Nurs.
The open AIDS journal	Open AIDS J.
The open addiction journal	Open Addict. J.
The open allergy journal	Open Allergy J.
The open anthropology journal	Open Anthropol. J.
The open biochemistry journal	Open Biochem. J.
The open bioinformatics journal	Open Bioinforma. J.
The open biology journal	Open Biol. J.
The open biomarkers journal	Open Biomark. J.
The open biomedical engineering journal	Open Biomed. Eng. J.
The open biotechnology journal	Open Biotechnol. J.
The open cancer journal	Open Cancer J.
The open cardiovascular medicine journal	Open Cardiovasc. Med. J.
The open cell signaling journal	Open Cell Signal. J.
The open clinical cancer journal	Open Clin. Cancer J.
The open complementary medicine journal	Open Complement. Med. J.
The open conference proceedings journal	Open Conf. Proc. J.
The open critical care medicine journal	Open Crit. Care Med. J.
The open dentistry journal	Open Dent. J.
The open dermatology journal	Open Dermatol. J.
The open drug discovery journal	Open Drug Discov. J.
The open drug metabolism journal	Open Drug Metab. J.
The open endocrinology journal	Open Endocrinol. J.
The open enzyme inhibition journal	Open Enzym. Inhib. J.
The open epidemiology journal	Open Epidemiol. J.
The open family studies journal	Open Fam. Stud. J.
The open forensic science journal	Open Forensic Sci. J.
The open gene therapy journal	Open Gene Ther. J.
The open genomics journal	Open Genomics J.
The open geriatric medicine journal	Open Geriatr. Med. J.
The open health services and policy journal	Open Health Serv. Policy J.
The open hypertension journal	Open Hypertens. J.
The open immunology journal	Open Immunol. J.
The open infectious diseases journal	Open Infect. Dis. J.
The open inflammation journal	Open Inflamm. J.
The open magnetic resonance reviews	Open Magn. Reson. Rev.
The open medical informatics journal	Open Med. Inform. J.
The open medicinal chemistry journal	Open Med. Chem. J.
The open microbiology journal	Open Microbiol. J.
The open nanomedicine journal	Open Nanomed. J.
The open neuroimaging journal	Open Neuroimag. J.
The open neurology journal	Open Neurol. J.
The open neuropsychopharmacology journal	Open Neuropsychopharmacol. J.
The open neuroscience journal	Open Neurosci. J.
The open nuclear medicine journal	Open Nucl. Med. J.
The open nursing journal	Open Nurs. J.
The open nutraceuticals journal	Open Nutraceuticals J.
The open nutrition journal	Open Nutr. J.
The open obesity journal	Open Obes. J.
The open ophthalmology journal	Open Ophthalmol. J.
The open orthopaedics journal	Open Orthop. J.
The open pacing, electrophysiology & therapy journal	Open Pacing. Electrophysiol. Ther. J.
The open pain journal	Open Pain J.
The open parasitology journal	Open Parasitol. J.
The open pathology journal	Open Pathol. J.
The open pediatric medicine journal	Open Pediatr. Med. Journal
The open pharmacology journal	Open Pharmacol. J.
The open prostate cancer journal	Open Prost. Cancer J.
The open proteomics journal	Open Proteomics J.
The open psychiatry journal	Open Psychiatr. J.
The open public health journal	Open Public Health J.
The open reproductive science journal	Open Reprod. Sci. J.
The open respiratory medicine journal	Open Respir. Med. J.
The open rheumatology journal	Open Rheumatol. J.
The open sleep journal	Open Sleep J.
The open spectroscopy journal	Open Spectrosc. J.
The open sports sciences journal	Open Sports Sci. J.
The open stem cell journal	Open Stem Cell J.
The open tissue engineering and regenerative medicine journal	Open Tissue Eng. Regen. Med. J.
The open translational medicine journal	Open Transl. Med. J.
The open tropical medicine journal	Open Trop. Med. J.
The open vaccine journal	Open Vaccine J.
The open virology journal	Open Virol. J.
The open women's health journal	Open Womens. Health J.
The overseas post-graduate medical journal	Overseas Postgrad. Med. J.
The patient	Patient
The pharmacogenomics journal	Pharmacogenomics J.
The plant genome	Plant Genome
The practising midwife	Pract. Midwife
The primary care companion to CNS disorders	Prim. Care Companion CNS Disord.
The proceedings of the European Prosthodontic Association ... Annual Meeting. European Prosthodontic Association. Meeting	Proc. Eur. Prosthodontic Assoc.
The proceedings of the South Carolina Historical Association. South Carolina Historical Association	Proc. S. C. Hist. Assoc.
The protein journal	Protein J.
The psychiatrist	Psychiatrist
The quarterly journal of administration / Institute of Administration, University of Ife	Q. J. Adm.
The quarterly journal of nuclear medicine : official publication of the Italian Association of Nuclear Medicine (AIMN) [and] the International Association of Radiopharmacology (IAR)	Q. J. Nucl. Med.
The quarterly journal of nuclear medicine and molecular imaging : official publication of the Italian Association of Nuclear Medicine (AIMN) [and] the International Association of Radiopharmacology (IAR), [and] Section of the Society of...	Q. J. Nucl. Med. Mol. Imaging
The review of diabetic studies : RDS	Rev. Diabet. Stud.
The review of policy research	Rev. Policy Res.
The review of the Polish Academy of Sciences. Polska Akademia Nauk	Rev. Pol. Acad. Sci.
The science reports of the research institutes, Tohoku University. Ser. C, Medicine. Tohoku Daigaku	Sci. Rep. Res. Inst. Tohoku Univ. Med.
The scientific proceedings of the Royal Dublin Society. Royal Dublin Society	Sci. Proc. R. Dublin Soc.
The social history of alcohol and drugs	Soc. Hist. Alcohol Drugs
The spine journal : official journal of the North American Spine Society	Spine J.
The sports historian	Sports Hist.
The state of Black America. National Urban League	State Black Am.
The state of health care in America	State Health Care Am.
The surgeon : journal of the Royal Colleges of Surgeons of Edinburgh and Ireland	Surgeon
The symposium / The Society for Developmental Biology. Society for Developmental Biology. Symposium	Symp. Soc. Dev. Biol.
The virtual mentor : VM	Virtual Mentor
The weekly law reports	Wkly. Law Rep.
The women's health data book : a profile of women's health in the United States / [Jacob's Institute of Women's Health]	Womens. Health Data Book
The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry	World J. Biol. Psychiatry
The world journal of men's health	World J. Mens. Health
TheScientificWorldJournal	ScientificWorldJournal.
Theatre survey	Theatre Surv.
Theochem	Theochem
Theologiai szemle	Theol. Sz.
Theology today (Princeton, N.J.)	Theol. Today
Theoretica chimica acta	Theor. Chim. Acta
Theoretical biology forum	Theor. Biol. Forum
Theoretical chemistry accounts	Theor. Chem. Acc.
Theoretical issues in ergonomics	Theor. Issues Ergon.
Theoria	Theoria
Theorie und Praxis der Korperkultur	Theor. Prax. Korperkult.
Theory in biosciences = Theorie in den Biowissenschaften	Theory Biosci.
Theory into practice	Theory Pract.
Theranostics	Theranostics
Therapeutic advances in chronic disease	Ther. Adv. Chronic Dis.
Therapeutic advances in gastroenterology	Therap. Adv. Gastroenterol.
Therapeutic apheresis : official journal of the International Society for Apheresis and the Japanese Society for Apheresis	Ther. Apher.
Therapeutic apheresis and dialysis : official peer-reviewed journal of the International Society for Apheresis, the Japanese Society for Apheresis, the Japanese Society for Dialysis Therapy	Ther. Apher. Dial.
Therapeutic communities	Ther. Communities
Therapeutic drug monitoring	Ther. Drug Monit.
Therapeutic hypothermia and temperature management	Ther. Hypothermia Temp. Manag.
Therapeutic notes	Ther. Notes
Therapeutic patient education	Ther. Patient Educ.
Therapeutic problems of today	Ther. Probl. Today
Therapeutic recreation journal	Ther. Recreation J.
Therapeutica nova	Ther. Nova
Therapeutics and clinical risk management	Ther. Clin. Risk Manag.
Therapeutikon (Karlsruhe, Germany)	Therapeutikon
Therapeutique (La Semaine des hopitaux)	Therapeutique
Therapeutique / Entretiens de Bichat Pitie-Salpetriere. Entretiens de Bichat Pitie-Salpetriere	Entret. Bichat Pitie. Salpetriere. Ther.
Therapeutische Berichte	Ther. Ber.
Therapeutische Umschau und medizinische Bibliographie. Revue therapeutique et bibliographie medicale	Ther. Umsch. Med. Bibliogr.
Therapeutische Umschau. Revue therapeutique	Ther. Umsch.
Therapia Hungarica	Ther. Hung.
Therapia Hungarica (English edition)	Ther. Hung.
Therapie	Therapie
Therapie der Gegenwart	Ther. Ggw.
Therapy	Therapy
Theriaca	Theriaca
Theriogenology	Theriogenology
Thermochimica acta	Thermochim. Acta
Thin solid films	Thin Solid Films
Third Republic = Troisieme Republique	Third Repub.
Third world planning review	Third World Plann. Rev.
Third world quarterly	Third World Q.
ThisWeek (Lagos, Nigeria)	ThisWeek
Thomas Jefferson law review	Thomas Jefferson Law Rev.
Thorax	Thorax
Thoraxchirurgie	Thoraxchirurgie
Thoraxchirurgie und vaskulare Chirurgie	Thoraxchir. Vask. Chir.
Thoraxchirurgie, vaskulare Chirurgie	Thoraxchir. Vask. Chir.
Thought	Thought
Thrombosis	Thrombosis
Thurgood Marshall law review	Thurgood Marshall Law Rev.
Thymus	Thymus
Thyroid : official journal of the American Thyroid Association	Thyroid
Thyroidology / A.P.R.I.M	Thyroidology
Tianjin yi yao = Tianjin medical journal	Tianjin Yi Yao
Tibet news review	Tibet News Rev.
Tic	TIC
Ticitl	Ticitl
Ticks and tick-borne diseases	Ticks Tick. Borne. Dis.
Tidens tann	Tid. Tann
Tidning. Sveriges Tandlakarforbund	Sver. Tandlakarforb. Tidn.
Tidskrift for Sveriges sjukskoterskor	Tidskr. Sver. Sjukskot.
Tidskrift for sjukvardspedagoger	Tidskr. Sjukvardspedagog.
Tidskrift i militar halsovard	Tidskr. Mil. Halsov.
Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke	Tidsskr. Nor. Laegeforen.
Tidsskrift for praktiserende tandlaeger	Tidsskr. Prakt. Tandlaeg.
Tidsskrift for rettsvidenskap	Tidsskr. Rettsvitenskap.
Tidsskrift for samfunnsforskning	Tidsskr. Samfunnsforsk.
Tidsskrift for tandlaeger (Copenhagen, Denmark : 1981)	Tidsskr. Tandlaeger
Tierarztliche Praxis. Ausgabe G, Grosstiere/Nutztiere	Tierarztl. Prax. Ausg. G. Grosstiere. Nutztiere.
Tierarztliche Praxis. Ausgabe K, Kleintiere/Heimtiere	Tierarztl. Prax. Ausg. K. Kleintiere. Heimtiere.
Tierarztliche Praxis. Supplement	Tierarztl. Prax. Suppl.
Tierarztliche Umschau	Tierarztl. Umsch.
Tiers-monde	Tiers. Monde.
Tijdschrift Voor Tandheelkunde	Tijdschr. Tandheelkd.
Tijdschrift voor bejaarden-, kraam- en ziekenversorging : bkz	Tijdschr. Bejaarden. Kraam. Ziekenverzorging.
Tijdschrift voor de geschiedenis der geneeskunde, natuurwetenschappen, wiskunde en techniek	Tijdschr. Geschied. Geneeskd. Natuurwet. Wiskd. Tech.
Tijdschrift voor diergeneeskunde	Tijdschr. Diergeneeskd.
